workload,repeat,duration_s,flops,sram_bytes,dram_bytes,spikes,energy_est_j
body,0,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,1,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,2,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,3,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,4,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,5,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,6,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,7,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,8,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,9,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,10,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,11,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,12,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,13,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,14,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,15,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,16,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,17,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,18,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,19,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,20,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,21,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,22,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,23,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,24,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,25,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,26,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,27,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,28,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,29,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,30,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,31,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,32,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,33,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,34,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,35,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,36,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,37,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,38,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,39,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,40,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,41,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,42,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,43,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,44,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,45,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,46,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,47,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,48,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,49,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,50,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,51,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,52,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,53,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,54,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,55,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,56,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,57,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,58,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,59,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,60,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,61,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,62,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,63,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,64,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,65,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,66,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,67,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,68,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,69,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,70,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,71,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,72,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,73,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,74,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,75,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,76,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,77,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,78,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,79,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,80,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,81,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,82,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,83,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,84,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,85,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,86,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,87,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,88,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,89,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,90,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,91,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,92,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,93,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,94,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,95,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,96,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,97,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,98,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
body,99,0.5,1316000,312320.0,78080.0,0.0,0.250002908832
brain,0,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,1,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,2,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,3,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,4,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,5,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
brain,6,0.5,50640000,28474560.0,3163840.0,5000.0,0.250116764256005
